serie,date,p_Dm1_V1,p_Dm1_V2,p_D0_V1,p_D0_V2,p_D0ant_V2,juros_V1,juros_V2,dif_V1_V2,bate
CR-FGTS-07-01-SINGLE,2026-02-12,93.1529818,93.15298181,90.12789004,90.12789005,93.20977034,3.08188029,3.081880290000001,-8.881784197001252e-16,SIM
CR-FGTS-07-01-SINGLE,2026-03-06,90.84478512,90.84478513,87.42154315,87.42154316,90.90016652,3.47862336,3.4786233600000003,-4.440892098500626e-16,SIM
CR-FGTS-07-01-SINGLE,2026-04-08,88.54757672,88.54757673,85.3804822,85.38048221,88.60155768,3.22107547,3.2210754700000024,-2.220446049250313e-15,SIM
CR-FGTS-07-01-SINGLE,2026-05-07,86.3222566,86.32225661,82.682193641,82.68219365,86.37488095,3.692687299,3.692687300000003,-1.00000274727563e-09,SIM
CR-FGTS-07-01-SINGLE,2026-06-09,83.74718201,83.54327487,80.44773359,,,3.35050292,,,N/A
CR-FGTS-08-01-SENIOR,2026-03-16,105.96473125,105.96473125,92.5,106.03148255,,13.53147639,0.0,13.53147639,NAO
CR-FGTS-08-01-SENIOR,2026-04-17,93.7750386,107.49304197,-0.442495919999999,13.28403031,107.55982631,93.833296,94.275796,-0.44249999999999545,NAO
CR-FGTS-08-02-MEZZANINE,2026-03-16,106.53100134,106.53100134,92.5,106.60428495,,14.1042787,0.0,14.1042787,NAO
CR-FGTS-08-02-MEZZANINE,2026-04-17,93.89463093,108.21156757,-0.442495269999995,13.88416629,108.28507129,93.958405,94.40090500000001,-0.44250000000000966,NAO
CR-FGTS-08-03-SUBORDINATED,2026-04-23,100.0,106.69952985,10.0,16.75743166,106.75743166,90.0,90.0,0.0,SIM
CR-FGTS-10-01-SINGLE,2025-12-08,102.08548749,102.08549857,98.903456687,98.90346777,102.15136654,3.247898773,3.247898769999992,3.0000082418268903e-09,SIM
CR-FGTS-10-01-SINGLE,2026-01-09,100.2522506,100.25226182,96.747687254,96.74769848,100.31694695,3.569248466,3.569248470000005,-4.000005215942792e-09,SIM
CR-FGTS-10-01-SINGLE,2026-02-10,98.06708192,98.06709328,95.14962112,95.14963248,98.13036848,2.980736,2.9807360000000074,-7.549516567451064e-15,SIM
CR-FGTS-10-01-SINGLE,2026-03-05,96.01273406,96.01274554,92.5549585866258,92.55497008,96.07469523,3.51972515337423,3.5197251499999993,3.374230672648082e-09,SIM
CR-FGTS-10-01-SINGLE,2026-04-07,93.81717496,93.81718661,89.94556446,89.94557611,93.87771967,3.93214356,3.93214356,0.0,SIM
CR-FGTS-10-01-SINGLE,2026-05-06,90.99594342,90.9959552,86.68024695,86.68025874,91.05466794,4.3744092,4.374409200000002,-2.6645352591003757e-15,SIM
CR-FGTS-10-01-SINGLE,2026-06-08,87.86234707,87.69250563,84.38136293,,,3.537675,,,N/A
CR-FGTS-12-01-SINGLE,2025-12-08,100.71764169,100.71764169,97.291990003,97.29199,100.78313667,3.491146667,3.4911466700000062,-3.000006021380841e-09,SIM
CR-FGTS-12-01-SINGLE,2026-01-09,98.62927945,98.62927944,95.298895289,95.29889528,98.69341639,3.394521111,3.3945211099999995,1.0000005268295808e-09,SIM
CR-FGTS-12-01-SINGLE,2026-02-11,96.67161245,96.67161244,92.990533027,92.99053302,96.73447635,3.743943333,3.7439433299999934,3.000006465470051e-09,SIM
CR-FGTS-12-01-SINGLE,2026-03-05,93.7797197,93.7797197,90.5803208377778,90.58032084,93.84070306,3.26038222222222,3.2603822199999968,2.222223294268133e-09,SIM
CR-FGTS-12-01-SINGLE,2026-04-07,91.82535761,91.82535761,88.25413119,88.25413119,91.88507008,3.63093889,3.63093889000001,-1.021405182655144e-14,SIM
CR-FGTS-12-01-SINGLE,2026-05-07,89.35094963,89.35094963,85.93350415,85.93350415,89.40905304,3.47554889,3.475548889999999,8.881784197001252e-16,SIM
CR-FGTS-12-01-SINGLE,2026-06-08,87.05805752,86.88844103,84.82674323,,,2.28792667,,,N/A
CR-FGTS-15-01-SINGLE,2026-03-05,101.96935608,101.96935608,97.8218161311111,97.82181613,102.03566502,4.21384888888889,4.213848889999994,-1.111104097617499e-09,SIM
CR-FGTS-15-01-SINGLE,2026-04-07,99.16638811,99.16638811,95.75394544,95.75394544,99.23087433,3.47692889,3.4769288900000106,-1.0658141036401503e-14,SIM
CR-FGTS-15-01-SINGLE,2026-05-07,96.94397123,96.94397123,93.18998855,93.18998855,97.00701225,3.8170237,3.817023700000007,-7.105427357601002e-15,SIM
CR-FGTS-15-01-SINGLE,2026-06-09,94.47089551,94.22556319,90.35021722,,,4.18211111,,,N/A
CR-FGTS-23-01-SINGLE,2026-05-07,102.63268868,102.14292338,102.15259997,102.12730895,102.20310004,0.54213173,0.07579108999999562,0.4663406400000044,NAO
CR-FGTS-23-01-SINGLE,2026-06-08,103.39477452,103.15499074,98.56772252,,,4.827052,,,N/A
CR-FGTS-25-01-SINGLE,2026-05-06,102.39576481,102.39576481,97.193368255087,98.66159039,102.45958039,5.26621213491274,3.7979899999999986,1.4682221349127413,NAO
CR-FGTS-25-01-SINGLE,2026-06-08,98.47336701,99.77426338,95.68832601,,,2.785041,,,N/A
