serie,date,clean_before,clean_after,clean_drop,accrued_drop,dirty_drop,cash_flow_atual,v1_interest,v1_extra,v1_total,d_clean,d_dirty,price_off_v2_minus_v1,veredito
CR-FGTS-12-01-SINGLE,2026-03-05,89.37038889,86.11000667,3.2603822199999968,0.0,3.2603822199999968,-86.11000667,0.0,3.26038222222222,3.26038222222222,-2.222223294268133e-09,-2.222223294268133e-09,2.222193984380283e-09,OK (clean=dirty=V1)
CR-FGTS-12-01-SINGLE,2026-04-07,86.11000667,82.47906778,3.63093889000001,0.0,3.63093889000001,-82.47906778,0.0,3.63093889,3.63093889,1.021405182655144e-14,1.021405182655144e-14,0.0,OK (clean=dirty=V1)
CR-FGTS-12-01-SINGLE,2026-05-07,82.47906778,79.00351889,3.475548889999999,0.0,3.475548889999999,-79.00351889,0.0,3.47554889,3.47554889,-8.881784197001252e-16,-8.881784197001252e-16,0.0,OK (clean=dirty=V1)
CR-FGTS-15-01-SINGLE,2026-03-05,100.0,95.78615111,4.213848889999994,0.0,4.213848889999994,-95.78615111,0.0,4.21384888888889,4.21384888888889,1.111104097617499e-09,1.111104097617499e-09,-1.111104097617499e-09,OK (clean=dirty=V1)
CR-FGTS-15-01-SINGLE,2026-04-07,95.78615111,92.30922222,3.4769288900000106,0.0,3.4769288900000106,-92.30922222,0.0,3.47692889,3.47692889,1.0658141036401503e-14,1.0658141036401503e-14,0.0,OK (clean=dirty=V1)
CR-FGTS-15-01-SINGLE,2026-05-07,92.30922222,88.49219852,3.817023699999993,0.0,3.817023700000007,-88.49219852,0.0,3.8170237,3.8170237,-7.105427357601002e-15,7.105427357601002e-15,0.0,OK (clean=dirty=V1)
CR-FGTS-23-01-SINGLE,2026-05-07,100.0,99.92420891,0.07579108999999562,0.0,0.07579108999999562,-99.92420891,0.0,0.54213173,0.54213173,-0.4663406400000044,-0.4663406400000044,-0.02529101999999739,DIVERGE (investigar)
CR-FGTS-23-01-SINGLE,2026-06-08,,,,,,,0.0,4.827052,4.827052,,,,SO_V1 (V2 nao lancou)
CR-FGTS-25-01-SINGLE,2026-05-06,100.0,96.20201,3.7979899999999986,0.0,3.7979899999999986,-96.20201,0.0,5.26621213491274,5.26621213491274,-1.4682221349127413,-1.4682221349127413,1.468222134913006,DIVERGE (investigar)
CR-FGTS-25-01-SINGLE,2026-06-08,,,,,,,0.0,2.785041,2.785041,,,,SO_V1 (V2 nao lancou)
